AC_vert_index,thick_l_m,sulc_l_m,myelin_l_m,thick_l_sd,sulc_l_sd,myelin_l_sd,first_gra_l_m,first_gra_l_sd,mean_sm_l_m,story_math_l_m,mean_sm_l_sd,story_math_l_sd,face_l_m,shape_l_m,face_shape_l_m,face_l_sd,shape_l_sd,face_shape_l_sd,rad_l_m,tom_l_m,rad_tom_l_m,rad_l_sd,tom_l_sd,rad_tom_l_sd,punish_l_m,reward_l_m,punish_reward_l_m,punish_l_sd,reward_l_sd,punish_reward_l_sd,l_variability
8430,2.593635473,-1.230354775,1.459034917,0.394514308,0.362614195,0.061348919,-0.154009388,8.549449746,0.261199246,0.631158417,1.447146975,1.689480837,0.198560545,0.252555323,-0.053994921,1.497868268,1.536207323,1.292787505,2.009044292,1.559420163,0.423487644,2.491013106,2.480570533,1.382320231,-0.303972767,-0.343937884,0.035461708,1.689893076,1.662787463,1.385529111,0.288100212
8431,2.549525804,-1.29202346,1.469149525,0.412467965,0.346664402,0.06245153,-0.170254206,8.563316376,0.278786155,0.652892618,1.414875802,1.712567296,0.222475084,0.267636289,-0.037831423,1.505927677,1.551450909,1.300307723,1.895769077,1.462264723,0.413387345,2.356009202,2.319707022,1.385643664,-0.266176191,-0.314667582,0.042403456,1.68305576,1.611647506,1.386640742,0.278647082
8432,2.503212559,-1.348883273,1.477484176,0.424209199,0.328437982,0.063560341,-0.185440588,8.557155207,0.272089092,0.666549361,1.371934593,1.697396479,0.241777768,0.269739632,-0.010015023,1.520479842,1.559329448,1.311632637,1.663639596,1.272578397,0.377324801,2.23632789,2.18546116,1.367795863,-0.25064048,-0.313692034,0.054466841,1.705844656,1.6007861,1.385752802,0.27112889
8433,2.479923767,-1.394497862,1.480692361,0.426930392,0.306168711,0.066855399,-0.289898498,8.396166951,0.242976941,0.678705224,1.354501692,1.67413634,0.269342923,0.269267571,0.034926332,1.547304332,1.563580772,1.338079916,1.343790254,1.01925111,0.321506777,2.1015967,2.044290104,1.337987435,-0.284823074,-0.357487352,0.061538628,1.708546918,1.610913506,1.399914177,0.265333304
8434,2.469000659,-1.425638786,1.478944905,0.419801988,0.284160959,0.068273074,-0.319268265,8.484994569,0.209655895,0.691367126,1.357010112,1.659075268,0.293842797,0.258947023,0.089545252,1.550091629,1.554339383,1.365199156,1.025613177,0.765507172,0.268936609,1.93884176,1.900391351,1.323760025,-0.363030466,-0.440897272,0.06398829,1.673229841,1.625455919,1.400974465,0.260491153
8435,2.474896009,-1.440995501,1.473542106,0.41858592,0.266490176,0.069039335,-0.314412501,8.368930161,0.16625324,0.709299063,1.364912343,1.624384591,0.304652694,0.229963452,0.14996609,1.51722538,1.524486351,1.379715919,0.742106621,0.546525194,0.216620027,1.767839077,1.751951785,1.307570132,-0.467538733,-0.550467564,0.066892198,1.62059127,1.620535338,1.382074628,0.257706982
8436,2.503447876,-1.446527627,1.460742428,0.424367757,0.250489068,0.065730287,-0.329284381,8.434158211,0.098084108,0.73759535,1.373962986,1.559706837,0.263737561,0.163629438,0.182533796,1.467467903,1.480728454,1.361717561,0.522970179,0.374337243,0.177244068,1.626482621,1.63745932,1.290958919,-0.567335715,-0.663603521,0.077971723,1.571258525,1.590989056,1.370299057,0.254701384
8437,2.535932549,-1.445871285,1.444558146,0.422969525,0.23023576,0.060654431,-0.348180918,8.438150259,0.022757638,0.78211937,1.363890416,1.510084608,0.181866525,0.080838659,0.173605729,1.407521863,1.431728243,1.31699108,0.386806537,0.254508126,0.160158573,1.541766915,1.581161146,1.286750854,-0.645682931,-0.74379989,0.079037836,1.517576581,1.557864933,1.360346739,0.250589736
8438,2.574170106,-1.442936069,1.427191746,0.41716419,0.205634761,0.055913722,-0.363542089,8.459057771,-0.050929677,0.858914816,1.347393549,1.508369265,0.098796224,-0.000436848,0.160658144,1.379446516,1.414928633,1.307941258,0.304144907,0.185280655,0.142777946,1.516989242,1.557750247,1.283807025,-0.693205537,-0.783410808,0.071108719,1.483422705,1.524649341,1.3434109,0.248030682
8471,3.0509581,0.562035653,1.354567774,0.419895674,0.386869268,0.070964959,0.420990446,9.170132985,3.563740528,1.993969311,2.425987915,2.508902037,-0.087985274,0.24215617,-0.496646943,1.678568702,1.650777596,1.468828893,0.178578953,-0.572967097,0.629482805,1.608332709,1.860342699,1.410774689,-0.548079924,-0.767768729,0.190642016,1.697367229,1.732832755,1.517209687,0.381123886
8472,3.025668856,0.595313419,1.380257311,0.420243025,0.373604599,0.081029697,0.354216991,9.04339412,3.589890967,1.945034442,2.382971219,2.434687443,0.060819694,0.438586146,-0.546751821,1.597986047,1.596442387,1.427628881,0.115008723,-0.80278076,0.77485276,1.592308139,1.809461715,1.421269738,-0.596566394,-0.77432444,0.14967207,1.69705352,1.709157325,1.510016672,0.353925825
8473,2.966916417,0.555390935,1.408912384,0.42708999,0.382474191,0.081195387,-0.245594582,8.444101706,3.615119743,1.936800673,2.380460414,2.426797252,0.193400705,0.596591757,-0.566481059,1.546687757,1.547419539,1.386701936,0.033530893,-0.926932668,0.820132974,1.642157285,1.880982145,1.43007158,-0.685166337,-0.897235163,0.181188802,1.718345847,1.749295011,1.400625201,0.332102989
