AC_vert_index,thick_r_m,sulc_r_m,myelin_r_m,thick_r_sd,sulc_r_sd,myelin_r_sd,first_gra_r_m,first_gra_r_sd,mean_sm_r_m,story_math_r_m,mean_sm_r_sd,story_math_r_sd,face_r_m,shape_r_m,face_shape_r_m,face_r_sd,shape_r_sd,face_shape_r_sd,rad_r_m,tom_r_m,rad_tom_r_m,rad_r_sd,tom_r_sd,rad_tom_r_sd,punish_r_m,reward_r_m,punish_reward_r_m,punish_r_sd,reward_r_sd,punish_reward_r_sd,r_variability
8431,2.650557515,-1.361384389,1.516612114,0.395146837,0.345397406,0.057454097,0.234833666,5.704927388,-0.187523635,0.923988598,1.309173117,1.663752967,-0.236581796,-0.209613907,-0.071942806,1.469708148,1.483209807,1.296521745,2.816096798,2.626079211,0.168069983,2.703857245,2.648369866,1.355784895,-0.944973064,-0.968392872,0.017914187,1.748287948,1.733739742,1.39490585,0.242258903
8432,2.62508656,-1.417037413,1.526317309,0.393542661,0.33262391,0.055861089,0.258071241,5.810877124,-0.176744597,0.934929628,1.313384429,1.647261113,-0.246501481,-0.271903572,0.004148333,1.468317461,1.491637757,1.313775867,2.647173519,2.485195947,0.148535465,2.553023899,2.475352475,1.352336015,-0.947570531,-0.960941845,0.007813991,1.679116054,1.650578865,1.389557949,0.239655708
8433,2.604195729,-1.465673285,1.529770098,0.396366485,0.320803757,0.057381222,-0.199494678,8.186022159,-0.172587589,0.943319139,1.27652635,1.630218712,-0.271649733,-0.357127745,0.089817946,1.484869878,1.499070422,1.349632184,2.248848202,2.109036005,0.134832813,2.37459806,2.29407393,1.347440114,-0.998561184,-1.018615862,0.01211722,1.647364174,1.62698458,1.392708473,0.235350005
8434,2.583575952,-1.501478742,1.528459832,0.405791872,0.309200942,0.059563144,-0.218452048,8.180746572,-0.162668072,0.944415024,1.253421625,1.621231957,-0.292813188,-0.427685979,0.160294434,1.494373806,1.495985026,1.36848388,1.730180041,1.588331794,0.142198376,2.169923067,2.105827602,1.337396346,-1.062475524,-1.100578838,0.026330833,1.616597691,1.613778809,1.389945024,0.230286015
8435,2.572377382,-1.525101618,1.524680686,0.402617369,0.297516791,0.061210512,-0.251214625,8.170151065,-0.161580421,0.939286516,1.256223511,1.618734481,-0.305379096,-0.472568393,0.206647072,1.503121277,1.503096013,1.364436614,1.212018761,1.054418024,0.165859143,1.970113108,1.939102936,1.328194997,-1.13292617,-1.177581391,0.030165545,1.580053675,1.584169856,1.377459183,0.224859473
8436,2.592890604,-1.535918792,1.515304532,0.402808655,0.283744108,0.063508676,-0.298356029,8.149728147,-0.182083009,0.951980771,1.25964748,1.62972723,-0.3008316,-0.491472377,0.242280677,1.496922449,1.506589049,1.352803308,0.782716669,0.614625303,0.187257096,1.808712777,1.822812854,1.329340192,-1.202230678,-1.250340389,0.031454543,1.560736122,1.554692927,1.363948475,0.219806709
8437,2.630012872,-1.535140002,1.501334541,0.40655182,0.266703299,0.079857128,-0.341660526,8.125330162,-0.212218886,1.011014841,1.242594362,1.640688605,-0.282340881,-0.500422074,0.285699639,1.463238599,1.486912903,1.339262076,0.472771541,0.309032599,0.192925623,1.691470908,1.745575232,1.331374968,-1.267632296,-1.313289267,0.026939304,1.564155059,1.539703945,1.360157026,0.213948707
8438,2.664351557,-1.529026498,1.488120048,0.402730856,0.243265281,0.109206336,-0.299164876,8.096156379,-0.234690286,1.091918182,1.222062131,1.662675327,-0.27050596,-0.513888517,0.324804307,1.426205731,1.457502851,1.342368753,0.281678166,0.144401917,0.176816588,1.625745399,1.718704355,1.340008663,-1.322291633,-1.353228555,0.011223649,1.579100479,1.547349389,1.36538609,0.207707182
8439,2.692149012,-1.517141802,1.476570156,0.403215288,0.218561713,0.126333756,-0.318066477,8.158064071,-0.247080496,1.166886801,1.23206539,1.692252588,-0.271102201,-0.533726209,0.352921147,1.446605951,1.45456661,1.358107762,0.20070318,0.091855587,0.156635561,1.621791187,1.730551553,1.3523215,-1.337685719,-1.351509225,-0.005838678,1.595330288,1.56212478,1.381861139,0.2058166
8440,2.684402473,-1.497370756,1.465547723,0.393927252,0.194283714,0.10786423,-0.305037754,8.06485106,-0.264850569,1.225779963,1.259825325,1.726541438,-0.283664174,-0.560280362,0.37160841,1.484793665,1.479726258,1.370105175,0.198553915,0.109439355,0.140380444,1.648968032,1.738299508,1.353129492,-1.325260702,-1.322599686,-0.020824388,1.616312085,1.572612546,1.395685962,0.207685536
